,Date,Time,open,high,low,close,volume,ST_Buy,ST_Sell,ST_Buy52,ST_Sell52,ST73,ST102,ST113
0,27-10-2023,09:15:00,43145.5,43389.85,43145.5,43261.85,1290.0,,,,,,,
1,27-10-2023,09:20:00,43279.0,43325.0,43279.0,43325.0,1080.0,,,,,,,
2,27-10-2023,09:25:00,43327.25,43336.75,43325.0,43336.55,525.0,,,,,,,
3,27-10-2023,09:30:00,43335.0,43369.75,43335.0,43369.75,885.0,,,,,,,
4,27-10-2023,09:35:00,43357.6,43460.0,43357.6,43439.95,1710.0,,,,,,,
5,27-10-2023,09:40:00,43450.0,43450.0,43425.0,43443.15,855.0,,,,,,,
6,27-10-2023,09:45:00,43450.05,43501.05,43415.0,43501.05,1065.0,,,,,,,
7,27-10-2023,09:50:00,43483.95,43526.6,43469.6,43474.25,960.0,,,,,,,
8,27-10-2023,09:55:00,43474.25,43474.25,43449.25,43452.8,705.0,,,,,,,
9,27-10-2023,10:00:00,43452.8,43502.65,43452.8,43485.15,180.0,,,,,,,
10,27-10-2023,10:05:00,43477.8,43496.8,43475.0,43490.0,180.0,,,,,,,
11,27-10-2023,10:10:00,43490.0,43490.0,43432.2,43453.85,225.0,,,,,,,
12,27-10-2023,10:15:00,43453.85,43458.55,43416.4,43458.4,420.0,,,,,,,
13,27-10-2023,10:20:00,43446.3,43446.3,43394.7,43409.4,360.0,,,,,,,
14,27-10-2023,10:25:00,43409.4,43468.55,43409.4,43468.55,615.0,,,,,,,
15,27-10-2023,10:30:00,43468.55,43480.4,43468.55,43480.4,45.0,,,,,,,
16,27-10-2023,10:35:00,43480.4,43480.4,43475.3,43475.3,45.0,,,,,,,
17,27-10-2023,10:40:00,43475.3,43475.3,43470.0,43470.0,45.0,,,,,,,
18,27-10-2023,10:45:00,43470.0,43470.0,43470.0,43470.0,15.0,,,,,,,
19,27-10-2023,10:50:00,43470.0,43475.0,43470.0,43475.0,150.0,,,,,,,
20,27-10-2023,10:55:00,43475.0,43475.0,43469.9,43475.0,30.0,,,,,,,
21,27-10-2023,11:00:00,43475.0,43521.15,43475.0,43495.95,405.0,,,,,,,
22,27-10-2023,11:05:00,43495.95,43502.85,43489.65,43490.0,165.0,,,,,,,
23,27-10-2023,11:10:00,43490.0,43494.95,43476.65,43494.95,45.0,,,,,,,
24,27-10-2023,11:15:00,43494.95,43494.95,43473.25,43479.2,75.0,,,,,,,
25,27-10-2023,11:20:00,43479.2,43590.0,43479.2,43590.0,510.0,,,,,,,
26,27-10-2023,11:25:00,43571.2,43571.2,43540.9,43550.0,150.0,,,,,,,
27,27-10-2023,11:30:00,43550.0,43564.3,43550.0,43555.2,120.0,,,,,,,
28,27-10-2023,11:35:00,43555.2,43564.4,43552.3,43552.3,90.0,,,,,,,
29,27-10-2023,11:40:00,43552.3,43552.3,43515.0,43515.0,45.0,,,,,,,
30,27-10-2023,11:45:00,43515.0,43526.95,43505.0,43526.95,165.0,,,,,,,
31,27-10-2023,11:50:00,43526.95,43535.0,43526.95,43535.0,15.0,,,,,,,
32,27-10-2023,11:55:00,43535.0,43535.0,43532.75,43532.75,60.0,,,,,,,
